kind,name,control,seed,strength,resolution,status,eligible_ground_truth,continuous_determinant_lower_bound,independent_minimum_signed_area,independent_minimum_area_ratio,flip_count,global_injectivity_certificate,mu_p95,mu_max,supported_probability_min,supported_probability_max,unit_square_sampling_compatible,image_min,image_max,identity_max_error,positive_x_shift_max_error,pair_bilinear_oracle_max_error,sampling_tolerance,error
positive_tutte,directed_random,33,1703,1.0,,ok,True,,4.395150614328673e-06,0.009001268458145122,0,True,0.8740187737047418,0.9823917425186938,0.0013996316820010077,0.95941241126104,True,,,,,,,
positive_tutte,directed_random,33,1701,3.0,,ok,True,,6.624156812126632e-13,1.3566273151235343e-09,0,True,0.9995822007116872,0.9999998201557027,1.99716523978497e-08,0.9998797427154816,True,,,,,,,
positive_tutte,directed_random,33,1702,3.0,,ok,True,,3.6557790604045724e-12,7.487035515708564e-09,0,True,0.999593495044672,0.999999875233228,5.284199887819855e-09,0.9998112711479437,True,,,,,,,
positive_tutte,directed_random,33,1703,3.0,,ok,True,,4.951017696528849e-13,1.0139684242491083e-09,0,True,0.9996193803399911,0.9999998204702237,7.478666338683703e-09,0.9999959237920281,True,,,,,,,
analytic,affine_anisotropic,49,,,,ok,True,0.9429999999999998,0.0002046440972222188,0.9429999999999908,0,True,0.16751269035533203,0.1675126903553343,,,False,,,,,,,
analytic,shear,49,,,,ok,True,1.0,0.00021701388888888676,0.9999999999999946,0,True,0.12403473458921006,0.12403473458921269,,,False,,,,,,,
analytic,rotation_stretch,49,,,,ok,True,0.9774999999999999,0.00021213107638888524,0.9774999999999853,0,True,0.15000000000000288,0.1500000000000077,,,False,,,,,,,
analytic,twist,49,,,,ok,True,1.0,0.0002139022618951474,0.9856616228128392,0,True,0.21051364852718402,0.28230759980783493,,,False,,,,,,,
analytic,sinusoidal_shear,49,,,,ok,True,1.0,0.00021701388888888676,0.9999999999999946,0,True,0.24309274480544113,0.24309274480544305,,,False,,,,,,,
analytic,local_compression,49,,,,ok,True,0.5625,0.00012236430155492252,0.563854701565084,0,True,0.09310863701169242,0.09590080895331518,,,True,,,,,,,
analytic,local_expansion,49,,,,ok,True,0.888434919925785,0.00020066707202919432,0.9246738679105254,0,True,0.0926288736664022,0.09470323774098158,,,False,,,,,,,
analytic,boundary_sliding,49,,,,ok,True,0.6230088815692248,0.0001354350187513562,0.6240845664062504,0,True,0.2266051262498774,0.23146296773546068,,,True,,,,,,,
positive_tutte,directed_random,49,1701,0.25,,ok,True,,9.19525239530283e-05,0.4237172303755529,0,True,0.29358388492541515,0.545277993333073,0.06411410512253708,0.34413772254765224,True,,,,,,,
positive_tutte,directed_random,49,1702,0.25,,ok,True,,6.7264364183172e-05,0.30995419015605624,0,True,0.3352407517620012,0.5167476916425816,0.055112368280840214,0.39942732349872506,True,,,,,,,
positive_tutte,directed_random,49,1703,0.25,,ok,True,,9.165838540980499e-05,0.4223618399683833,0,True,0.28284398074859224,0.47277908784857403,0.06582217538361039,0.4012326095602533,True,,,,,,,
positive_tutte,directed_random,49,1701,1.0,,ok,True,,2.7812706062269975e-06,0.012816094953493992,0,True,0.8433926463951243,0.9693526236985482,0.001374420881059382,0.8929680341175202,True,,,,,,,
positive_tutte,directed_random,49,1702,1.0,,ok,True,,1.311901815311346e-06,0.006045243564954676,0,True,0.8777791893214073,0.9906661923588974,0.0011344484804336986,0.9270199899004091,True,,,,,,,
positive_tutte,directed_random,49,1703,1.0,,ok,True,,2.5634312577562735e-06,0.011812291235740882,0,True,0.8394212234196836,0.9748116380267692,0.0013996316820010077,0.95941241126104,True,,,,,,,
positive_tutte,directed_random,49,1701,3.0,,ok,True,,2.6552993210780106e-12,1.2235619271527461e-08,0,True,0.9993265844014256,0.999999412581138,5.107571539000306e-09,0.9999121659517008,True,,,,,,,
positive_tutte,directed_random,49,1702,3.0,,ok,True,,1.218920561263061e-12,5.61678594630021e-09,0,True,0.9996394424458014,0.9999997034167774,5.284199887819855e-09,0.9998830963775936,True,,,,,,,
positive_tutte,directed_random,49,1703,3.0,,ok,True,,2.0983830579378965e-12,9.669349130977832e-09,0,True,0.9994447244403218,0.999999939043383,7.478666338683703e-09,0.9999959237920281,True,,,,,,,
image,checkerboard,,,,256,ok,True,,,,,,,,,,,0.0,1.0,3.0517112463712692e-05,3.0517112463712692e-05,9.9056342151016e-06,0.000244140625,
image,smooth_blobs,,,,256,ok,True,,,,,,,,,,,0.0,1.0,2.980232238769531e-07,2.980232238769531e-07,1.717805045986509e-07,0.000244140625,
image,medical_phantom,,,,256,ok,True,,,,,,,,,,,0.0,1.0,7.070600986480713e-06,7.070600986480713e-06,2.7649098768289804e-06,0.000244140625,
image,textured,,,,256,ok,True,,,,,,,,,,,0.0,1.0,5.960464477539062e-07,5.960464477539062e-07,3.1286556123610865e-07,0.000244140625,
image,checkerboard,,,,512,ok,True,,,,,,,,,,,0.0,1.0,7.629365427419543e-06,7.629365427419543e-06,1.5616416931152344e-05,0.00048828125,
image,smooth_blobs,,,,512,ok,True,,,,,,,,,,,0.0,1.0,2.980232238769531e-07,2.980232238769531e-07,1.7981175537418181e-07,0.00048828125,
image,medical_phantom,,,,512,ok,True,,,,,,,,,,,0.0,1.0,5.0961971282958984e-06,5.0961971282958984e-06,3.1646297385945488e-06,0.00048828125,
image,textured,,,,512,ok,True,,,,,,,,,,,0.0,1.0,7.748603820800781e-07,7.748603820800781e-07,3.651328098763784e-07,0.00048828125,
